current_question_number,mapping_source_file,mapping_source_number,mapping_confidence,mapping_status,option_mapping,mapping_reason,proposed_question,proposed_A,proposed_B,proposed_C,proposed_D,proposed_E,proposed_F,current_answer,chinese_answer,proposed_answer,change_type,answer_analysis_risk,agent_notes
107,第四章.docx,170,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which of the following scenarios warrants enhanced due diligence (EDD)?(Choose three.),The former personal secretary to the minister of transport in a low-risk country 25 years ago opening a bank account at a bank in a neighboring low-risk country.,An existing local league footballer trying to open a bank account with a bank in their local jurisdiction.,A bank located in a higher-risk country trying to establish a correspondent-respondent banking relationship with a bank in a lower-risk country.,An individual with a current bank account who resides in one country becoming the ambassador of another country.,The current prime minister of a country trying to open a bank account in another country.,,CDE,CDE,CDE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
108,第四章.docx,171,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"According to the Basel Committee principles, which actions would make a customer identification program at a bank more robust?(Choose two.)",Limiting the online activities of a new customer during the first two months.,Understanding the nature and purpose behind a new business opening an account at the bank.,Verifying the identity of a customer with reputable online source documentation.,Understanding why a customer has selected a particular financial institution for banking.,,,BC,BC,BC,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
109,第四章.docx,172,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A financial institution's (FI's) policy requires enhanced due diligence (EDD) for every new client to ensure program effectiveness. What advice should a consultant give the FI's management team?,Suggest the management team select the clients that are chosen for EDD.,Suggest the management team ask the regulator for advice on EDD measures.,Suggest EDD for 50% of the clients is appropriate.,Suggest the FI needs to implement a risk-based approach for EDD.,,,D,D,D,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
110,第四章.docx,173,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Transfers of money over the last 6 months to a corporation in a jurisdiction with strict secrecy laws triggered an alert. Which of the following should cause the most suspicion of money laundering?,The jurisdiction is a known tax haven.,The company has bearer shares.,The corporation director is a European citizen.,No financial statements have been filed for 3 years.,,,B,B,B,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
111,第四章.docx,68,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What kind of situation requires enhanced due diligence (EDD) on customers?,A customer closed their store and opened a new one opposite the city.,the low-risk level of the customer has not changed since the relationship was established five years ago.,A potential customer recly started anentd set up a new enterprise.,the ownership of the company is held in the form of bearer shares.,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
112,第四章.docx,174,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Normal account-opening procedures reveal a customer who contacted a financial institution to open a bank account is the brother of a prominent member of a foreign judiciary. Which of the following actions should the anti-money laundering specialist recommend immediately?,Monitor the customer's account.,Perform enhanced due diligence.,File a suspicious transaction report with the competent authority.,Contact the institution's legal advisor.,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
113,第四章.docx,69,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which information should be gathered as part of enhanced due diligence (EDD) for a high-risk customer?,Explanations for changes in marital status,Details on individuals with control over the account,Plans for traveling in business trips,Personal references,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
114,第四章.docx,70,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"According to the Basel Committee on Banking Supervision, banks should deal with high-risk customers by:",maintaining segregated records to enable easy inspection by law enforcement in case of a subpoena.,assigning those customers to specified private bankers for better monitoring of their offshore transactions.,performing enhanced due diligence including enhanced ongoing monitoring of the account activity.,seeking approval from the board of directors before establishing the relationship.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
115,第四章.docx,71,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Enhanced due diligence (EDD) may be bypassed for which situation?,On-boarding a branch or majority-owned subsidiary of an EU or US FI located in a high-risk third country that fully complies with group-wide policies and procedures.,On-boarding a subsidiary in a high-risk country with a complex ownership structure of a long-standing and reputable customer based in the EU or US.,"On-boarding a casino headquartered in the EU or US that is part of an international hotel chain, provides less than 50% of overall revenue and that fully complies with group-wide policies and procedures.",On-boarding a reputable Politically Exposed Person (PEP) from the EU onto the wealth management arm of a US financial institution (FI).,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
116,第四章.docx,72,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A financial institution has expanded its scope of services so that it is attracting the business of politically exposed persons (PEPs) who had previously never been part of the customer base. Which two courses of action should the compliance officer include in the institution's procedures for considering PEPs as customers? (Choose two.),Conduct enhanced ongoing monitoring of the business relationship,Expedite due diligence when a PEP is pre-approved by a member of senior management,Obtain appropriate senior management approval for establishing a business relationship with a PEP from a high risk country,Take adequate measures to establish the source of wealth and source of funds which are involved in the business relationship or occasional transaction,,,AD,AD,AD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
117,第四章.docx,73,中,待人工确认,A→A; B→B; C→C; D→D,当前答案与中文答案均为C，但STR/SAR保密规则通常要求拒绝向信贷部门披露，B更可能正确；现有解析也未解释本题。必须人工核对答案和解析。,A banker in the credit department asks the compliance officer for a list of customers for whom suspicious transaction reports (STRs) have been filed so that the department can assess customer risk. What should the compliance officer do to protect STR information?,Provide the STR information to the credit department,Decline to provide the STR information to the credit department,Obtain approval from the board of directors before disclosing the STR information,Ask the credit department manager how the STR information should be provided,,,C,C,C,机翻改写与专业润色,当前答案与中文答案均为C，但STR/SAR保密规则通常要求拒绝向信贷部门披露，B更可能正确；现有解析也未解释本题。必须人工核对答案和解析。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
118,第四章.docx,74,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A foreign politically exposed person (PEP) requests to add a beneficiary to a life insurance policy. How should the request be processed to mitigate risk?,Perform due diligence on the beneficiary,Determine the source of wealth and source of funds,Decline the request if the beneficiary is a foreign PEP,Decline the request to add a beneficiary due to increased risk,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
119,第四章.docx,175,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"Appendix 4 of the Consultation Document on General Guidelines for Opening Accounts issued by the Basel Committee lists the information that should be obtained when confirming a ""legal person"". Which three pieces of information belong to the suggested content?","legal person's name, legal form, status and legal person registration certificate",the permanent address of the main activity place of the legal person,Report on the visit of the account specialist to the main event venue,confirm the right to operate the account and control the legal person's natural person status through ownership or other means.,,,ABD,ABD,ABD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
120,第四章.docx,176,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"Before providing suspicious activity report documentation to an authorized requestor, the institution should first:",contact a local financial intelligence unit for authorization.,notify outside counsel.,de request a subpoena.,independently verify the requestor,,,D,D,D,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
121,第四章.docx,177,高,已确认,A→A; B→B; C→C; D→D; E→E; F→F,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A senior government official is trying to open an account in a financial institution (FI) that operates in a different country from where the official is domiciled. The official is using an asset manager intermediary to represent them. According to the Wolfsberg Group, which next steps should the FI take regarding the opening of the account? (Choose three.)",Report to authorities that a possible suspicious activity is being undertaken by a politically exposed person.,Screen for applicable sanctions only for the official in the name of the person for whom the account will be opened.,Reasonably establish if the source of wealth and funds of the official is legitimate.,Perform due diligence procedures on the managing intermediary.,Determine whether the intermediary representative is acting on the officer's behalf.,Ensure the official's client file is updated so that the information is maintained in a consistent and complete manner.,CDE,CDE,CDE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
122,第四章.docx,178,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A bank customer operates a fuel station as a sole proprietorship. The customer places deposits and other credits in a business account. The customer routinely transfers money from the business account to a brokerage account where he invests in money market securities. The customer also routinely makes monthly transfers to a credit card and line of credit to pay off balances. The volume of activity flowing through the business account has doubled in the past 3 months. An internal investigator reviews business account statements and credit card activity for the past 3 months, scans media articles about the customer, and interviews the account officer about the customer and account activity. This internal investigation did not provide an explanation for the increased activity. Which of the following should the anti-money laundering specialist recommend to the internal investigator?",Concentrate on trades made in the brokerage account,Review activity in all related customer accounts in the past year.,Analyze account activity for selected accounts since the accounts were opened.,No additional steps are necessary because this was a thorough review of the activity.,,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
123,第四章.docx,179,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An offshore company is owned by four equal partners that reside in separate jurisdictions. One partner presents an authenticated power of attorney apparently executed by the remaining three partners in his favor and requests that a bank account be opened on behalf of all partners. He needs this done quickly because there is a large deposit pending. The account-opening officer contacts the bank's anti-money laundering officer for advice. Which of the following should the anti-money laundering officer advise as an initial step?,Verify the identity of all partners,Verify the source of the deposit,File a suspicious transaction report with the appropriate Financial Intelligence Unit.,File a suspicious transaction report with the Egmont Group.,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
124,第四章.docx,180,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"According to the Basel Committee, customer acceptance, customer due diligence, and recordkeeping policies and procedures should be revised as necessary to:",address KYC deficiencies in account opening procedures.,ensure policies and procedures are reviewed every three months.,address structure changes strictly related to new employees.,address variations in risk among each line of business within the organization.,,,A,A,A,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
125,第四章.docx,75,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"When assessing and managing money laundering risks while operating in foreign jurisdictions different from that of the head office, an effective AML monitoring program should:",be tailored to the higher of standards between the jurisdictions.,conform to the foreign jurisdiction policies to align with the head office policies.,Be consistent with the head office audits.,Provide all foreign jurisdiction reports to the head office for approval.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
126,第四章.docx,201,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"In accordance with FATF standards, when the minimum AML requirements of the host country where a FI operates are less strict than those of the FI's home country, the FI:","is required to impose more strict requirements on host country branches, disregarding if host country laws and regulation permit such action.",should close down its operations in the host countries where minimum AML/CFT requirements are less strict than those of the home country.,should always apply additional measures on their branches and majority-owned subsidiaries in host countries to manage the money laundering and terrorist financing risk overseas.,"is required to ensure that their branches and majority- owned subsidiaries in host countries implement the requirements of the home country, to the extent that host country laws and regulations permit.",,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
127,第四章.docx,181,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"When a government imposes economic sanctions on a target, its purpose is to:",Indicate that the use of military force is likely unless the target complies with the government's interests.,Encourage non-governmental organizations (NGOs) to increase the provision of humanitarian and charitable aid to the target.,Protect the rights of the citizens of the target country against their own government and improve financial stability in the region.,Alter the behavior of the state or non-state target that threatens the interests of that government or violates international norms.,,,D,D,D,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
128,第四章.docx,182,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which is a purpose of imposing sanctions?(Choose two.),Accomplish foreign policy and national security goals,Encourage business deals,Deter countries from choosing a desirable course of action,Limit opportunities for desirable behavior,,,AC,AC,AC,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
129,第四章.docx,78,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What is a tool governments and multi-national bodies can use to prevent the proliferation of weapons of mass destruction?,Economic Sanctions,Commission Rogatoire,Account Monitoring Order,Mutual Legal Assistance Treaties,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
130,第四章.docx,80,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Why do governments and multi-national bodies impose economic sanctions?,To impede kleptocracy,To enforce foreign policy objectives,To combat an imminent terrorist threat,To prevent fraudulent international trade transactions,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
131,第四章.docx,81,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"Upon receipt of a law enforcement or government request about a customer, a financial institution (FI) should immediately perform which task?",Notify the board of directors that the customer is currently under investigation.,File a suspicious activity report or suspicious transaction report.,Contact the customer to inform them of the request.,Review account activity for the customer to determine their overall risk.,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
132,第四章.docx,183,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,When should organizational policies and procedures force the screening of political public figures?,the whole life cycle of customer relationship,When requested by the senior management team,when the regulatory authorities instruct the organization to do so.,When guiding customers,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
133,第四章.docx,189,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"In many jurisdictions,financial institutions are prohibited from hiring a person who has been convicted of what type of offense?",Kidnapping,Offenses involving dishonesty,Driving while under the influence,Protests of government action,,,B,B,B,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
134,第四章.docx,190,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Why is the designated Commissioner responsible for reporting suspicious activities (suspicious activity reports and suspicious transaction reports) to his financial intelligence unit?,Wolfsburg Group should be responsible for the guidance and suggestions.,The board of directors entrusted them with this function.,Financial Action Task Force regulations instruct front-line personnel to report suspicious activities,the organization needs to appoint a Commissioner to report suspicious activities before renewing the license.,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
135,第四章.docx,185,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which practices should be considered when investigating unusual transactions and activities?(Choose three.),"Focusing primarily on quantitative metrics, such as transaction amounts.","Evaluating the transactions by cross-referencing with known external factors, such as market trends or recent news events.","Discussing with the responsible relationship manager, who may have insights into the customer's behavior or the nature of the transactions.",Utilizing a risk-based approach to determine the level of scrutiny required for different types of transactions.,Prioritizing automated alerts over manual reviews to streamline the investigation process.,,BCD,BCD,BCD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
136,第四章.docx,187,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"An international bank is investigating a payment requested by one of its correspondent relationships that generated an alert in the automated transaction monitoring system. The payment originated from a corporation located in Hong Kong, and the final beneficiary is an individual in New York. Which steps should the bank take first to address the alert?(Choose three.)",Call the receiving individual to review identity verification documents.,Confirm that neither the beneficiary nor the originator are sanctioned parties.,"Request supporting documents, including invoices and contracts, to confirm the purpose of the payment.",Check for negative news in public sources on the sender and receiver.,Send a 314 (b) request to the corporation's bank in Hong Kong.,,BCD,BCD,BCD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
137,第四章.docx,184,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which measure should financial institutions (FIs) take to comply with sanctions requirements?,Adopt automatic screening systems to detect designated persons and entities.,"Change the risk profile to ""high-risk"" if an existing customer becomes a sanctioned entity and continue monitoring further transactions.",Conduct enhanced due diligence (EDD) for prohibited entities on the sanctions list.,Freeze the funds or assets of designated persons and entities once this decision is approved by the board. U.S. (OFAC) Specially Designated Nationals (SDN) List,,,A,A,A,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
138,第四章.docx,186,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A bank in the Netherlands has been asked to share information about certain transactions and related customers with a bank in Italy. Both banks are subject to European Union jurisdiction. What is the most important factor the Dutch bank should consider before sharing the information?,The Dutch bank's legal obligations to protect customer privacy and bank secrecy prohibit it from sharing any such information.,The Dutch bank should require a production order from the Italian bank and receive approval from its legal department before sharing the requested information.,The need to fight financial crime outweighs the EU's data protection and privacy regulations.,"The Dutch bank should limit any information sharing to what is necessary, reasonable, and proportionate, in line with applicable laws and regulations",,,D,D,D,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
139,第四章.docx,76,高,已确认,A→A; B→B; C→C; D→D; E→E; F→F,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which are common types of economic sanctions? (Choose three.),Targeted sanctions,Technological sanctions,SWIFT network sanctions,Sectoral sanctions,Supervisory sanctions,Comprehensive sanction,ADF,ADF,ADF,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
140,第四章.docx,77,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The ultimate goal of economic sanctions is to:,protect the reputation of the country.,prevent terrorists from profiting from trade.,protect national security.,reduce the profits of sanctioned countries.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
141,第四章.docx,78,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What is a tool governments and multi-national bodies can use to prevent the proliferation of weapons of mass destruction?,Economic Sanctions,Commission Rogatoire,Account Monitoring Order,Mutual Legal Assistance Treaties,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
142,第四章.docx,79,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which is a primary purpose of imposing economic sanctions?,Preventing depletion of natural resources,Changing the behavior of the country,Minimizing the export of trade goods,Promoting competition of domestic technology,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
143,第四章.docx,82,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"To ensure compliance with economic sanctions established by governmental authorities in the jurisdictions where it operates, a financial institution requires that all new and existing customers be screened at onboarding and quarterly thereafter. Is this step sufficient to ensure compliance?","No, screening should occur promptly after list updates","Yes, this is recommended by the international guidance","No, it is necessary to screen and perform enhanced due diligence on new relationships","Yes, screening all existing customer relationships ensures the institution is not dealing with a sanctioned individual or entity",,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
144,第四章.docx,188,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A recruitment manager in the human resources department of a bank has shortlisted a candidate for the position of relationship manager in its private banking division. The bank's compliance policy requires proper background checks to protect against fraud and money laundering risks. Which resources would be most useful for identifying potential negative information regarding the shortlisted candidate? (Choose three.),Past employment records.,Personal references from close associates.,Personal resume.,Internet and public media searches.,Criminal history searches.,,ADE,ADE,ADE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
145,第四章.docx,83,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What should a bank do if it suspects one of its employees may be involved in mortgage loan fraud?,Conduct an investigation by gathering and analyzing information on the employee.,Automatically file a police report about the employee's potential misconduct.,Initiate civil litigation against the employee to recover damages for losses incurred.,File a SAR/STR on the employee's activities if management thinks it is suspicious.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
146,第四章.docx,84,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which are the two most common controls a financial institution (FI) uses to identify suspicious money-laundering activity? (Choose two.),Sanctions screening,Adverse media information,Governmental subpoena,Search warrant,Transaction monitoring rules,,AE,AE,AE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
147,第四章.docx,85,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"An organization uses an automated surveillance system that generates a very large volume of anti-money laundering alerts. The monthly volume of alerts has increased over the last year causing the compliance staff to fall significantly behind reviewing the alerts. As a result, the system settings are under review to determine if they are appropriate. Which action should be included in the evaluation of system settings?",Compare settings to organizations within its peer group,Flag filters with no history of generating an alert for removal,Review parameter settings based on the latest risk assessment,Calibrate parameters based on staffing capabilities to clear alerts,,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
148,第四章.docx,191,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A financial institution's monitoring system triggers an alert and an internal investigation has confirmed the activity as suspicious. Which of the following should an anti-money laundering specialist do before submitting the suspicious transaction report?,Secure documents related to the suspicious circumstances and the decision to report.,Check with other financial institutions in accordance with the relevant law.,Add information related to the suspicious activity to the customer's account-opening file.,Contact the customer for further information without disclosing the suspicion.,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
149,第四章.docx,86,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which action by a prospective customer during the account opening process requires further investigation?,Listing a long-distance phone number,Questioning reporting requirements,Expressing knowledge of the financial industry,Providing driver's license,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
150,第四章.docx,88,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A bank's anti-money laundering section receives an anonymous tip that a customer might be engaging in possible money laundering. Which two facts should be considered during the course of an investigation into this matter? (Choose two.),The customer has had a long-standing account at the bank,The customer is on the exempt list for currency transaction reporting requirements,The customer is issuing a number of wires to several relatively high-risk jurisdictions,"The customer's account has had a large volume of activity, but the month-end balance is usually low",,,CD,CD,CD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
151,第四章.docx,89,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The training department is conducting awareness training for unusual customer identification scenarios. Which two indicators should be included? (Choose two.),The customer's name and home address cannot be verified.,The customer opens the account in the name of a family member who begins making large deposits.,The customer requests payment of proceeds to an unrelated third party.,The customer frequently exchanges small bills for large bills.,The customer's internet protocol address does not match the identifying information provided during online registration.,,AE,AE,AE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
152,第四章.docx,192,中,待人工确认,A→A; B→B; C→C; D→D,中文题干将英文的financial instruments译为现金存款，且中文B选项写成现金按顺序编号，语义不成立。建议保留英文原题语义并核对原题。,"A bank in a jurisdiction with currency-reporting thresholds conducts a quarterly review of a retail customer's account. The review identifies numerous large deposits of financial instruments drawn on other institutions, each below the reporting threshold and inconsistent with the customer's historical profile. Which additional fact would make an STR filing most likely?",The customer defaulted on a large loan from the bank,The deposited financial instruments were sequentially numbered,Four deposits made during the period exceeded the reporting threshold,"On three occasions, the customer purchased financial instruments above the reporting threshold",,,B,B,B,机翻改写与专业润色,中文题干将英文的financial instruments译为现金存款，且中文B选项写成现金按顺序编号，语义不成立。建议保留英文原题语义并核对原题。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
153,第四章.docx,193,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The AML investigator is reviewing the transaction monitoring alerts and the customer's historical profile for the past two years. A review of the negative news search from a blog indicates that the customer was previously part of a terrorist group. Which activities warrant further escalation? (Choose two.),The credit transactions in the account relate mostly to salary and rental income from property.,The account received a large cash deposit followed by systematic automated teller machine (ATM) withdrawals until the balance was nominal.,The customer conducts multiple cash transactions on a regular basis which do not match the customer's occupation.,The customer remitted monies in several transactions to the account of a recognized charity non-profit organization.,The customer has bought and sold several real estate properties over the last year.,,BC,BC,BC,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
154,第四章.docx,90,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which transaction should result in a SAR/STR filing?,"A small business owner deposits checks totaling $9,950 USD on a daily basis without providing a legitimate purpose.","A small business owner deposits $25,000 USD in cash proceeds with a business equipment bill of sale.",A national food-chain restaurant with multiple cash transactions at various branch locations.,"A national food-chain restaurant makes multiple, anticipated cash transactions that are above the daily reporting threshold.",,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
